,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,sku,product, Quantity ,,,,,,,
,,20230,NC MONORAIL PTCA DILATATION 3.0*12, 5 ,,,,,,,
,,20231,NC MONORAIL PTCA DILATATION 3.5*15, 5 ,,,,,,,
,,20232,NC MONORAIL PTCA DILATATION 2.5*12, 5 ,,,,,,,
,,20233,LAUNCHER GUIDE CATHETER 6FR, 107 ,,,,,,,
,,20234,LAUNCHER GUIDE CATHETER 7FR , 40 ,,,,,,,
,,20235,LAUNCHER GUIDE CATHETER 8FR, 27 ,,,,,,,
,,20236,RADIFOCUS OPTITORQUE RADIAL TIG 5FR, 30 ,,,,,,,
,,20237,3DRC 100CM SF-1.65M CATHETER, 291 ,,,,,,,
,,20238,DIAGNOSTIC CATHETER 100CM*1.5M CATHETER, 540 ,,,,,,,
,,20239,LAUNCHER GUIDE CATHETER 0.071 6FR, 75 ,,,,,,,
,,20240,DIPOSABLE SYRINGES 20ML," 49,550 ",,,,,,,
,,20241,DIPOSABLE SYRINGES 10ML," 26,300 ",,,,,,,
,,20242,DIPOSABLE SYRINGES 3ML," 78,900 ",,,,,,,
,,20243,DIPOSABLE SYRINGES 60ML," 31,575 ",,,,,,,
,,20244,DIPOSABLE SYRINGES 1ML," 116,000 ",,,,,,,
,,20245,STERILE NON-WOVEN SWAB," 466,000 ",,,,,,,
,,20246,VIGINAL SPECULUM M ," 3,100 ",,,,,,,
,,20247,VIGINAL SPECULUM L, 90 ,,,,,,,
,,20248,WEGO CANNULA WITH WINGS 24G," 5,000 ",,,,,,,
,,20249,WEGO CANNULA WITH WINGS 22G," 5,000 ",,,,,,,
,,20250,WEGO CANNULA WITH WINGS 20G," 2,000 ",,,,,,,
,,20251,WEGO CANNULA WITH WINGS 18G," 2,000 ",,,,,,,
,,20252,IV CATHETER WITH INJECTION 24G," 4,000 ",,,,,,,
,,20253,IV CATHETER WITH INJECTION 22G," 3,000 ",,,,,,,
,,20254,IV CATHETER WITH INJECTION 20G," 3,000 ",,,,,,,
,,20255,IV CATHETER WITH INJECTION 18G," 3,000 ",,,,,,,
,,20256,IV CATHETER SINGLE PEN TYPE 24G," 3,000 ",,,,,,,
,,20257,IV CATHETER SINGLE PEN TYPE 22G," 2,000 ",,,,,,,
,,20258,IV CATHETER SINGLE PEN TYPE 20G," 3,000 ",,,,,,,
,,20259,IV CATHETER SINGLE PEN TYPE 18G," 4,000 ",,,,,,,
,,20260,STERILE FEEDING TUBE FR10," 1,120 ",,,,,,,
,,20261,STERILE FEEDING TUBE FR5," 1,500 ",,,,,,,
,,20262,OLYMPUS TUBING 2M SINGLE, 44 ,,,,,,,
,,20263,ECC INJECT 19 GAUGE LENGHT 4MM, 80 ,,,,,,,
,,20264,CHEST DRAINAGE CATHETER WITH TROCAR 12FR, 100 ,,,,,,,
,,20265,CHEST DRAINAGE CATHETER WITH TROCAR 14FR, 80 ,,,,,,,
,,20266,DISPOSABLE ELECTRO SURGICAL SNARE , 38 ,,,,,,,
,,20267,SINGLE USE RELOADABLE CLIP APPLICATOR, 19 ,,,,,,,
,,20268,PRELOADED SPHINCTEROTOME V 2700*0.25inch, 5 ,,,,,,,
,,20269,3-LUMEN SPHINCTEROTOME V 1700-24M 5.5FR, 5 ,,,,,,,
,,20270,BILLARY DRAINAGE STENT V 1900-37M 10FR, 2 ,,,,,,,
,,20271,RETRIEVAL BASKET V 1900-28M 7FR , 4 ,,,,,,,
,,20272,BILLARY DRAINAGE STENT V 1900-32M 7FR, 3 ,,,,,,,
,,20273,SINGLE USE CANNULA V 1950-22M 4FR, 2 ,,,,,,,
,,20274,3-LUMEN EXTRACTION BALLOON V 1900-28 4FR, 3 ,,,,,,,
,,20275,DISPOSABLE ELECTRONIC HYSTEROSCOPE, 41 ,,,,,,,
,,20276,URINAL BATTLE FEMALE, 70 ,,,,,,,
,,20277,ELASTIC NET BANDAGE 5.5CM*25M, 31 ,,,,,,,
,,20278,TUBULAR BANDAGE 7.5CM*10M, 24 ,,,,,,,
,,20279,BOOSTER STARTER KIT CUSMETIC, 72 ,,,,,,,
,,20280,DISPOSABLE CIRCULAR STAPLIERS BIG, 13 ,,,,,,,
,,20281,DISPOSABLE LINER STAPLIERS SMALL, 12 ,,,,,,,
,,20282,CAMERA SLEEVE, 850 ,,,,,,,
,,20283,ANESTHESIA LARYNGOSCOPE SET L, 90 ,,,,,,,
,,20284,ANESTHESIA LARYNGOSCOPE SET S, 5 ,,,,,,,
,,20285,ENDOSCOPE RETRIEVAL BAGS, 50 ,,,,,,,
,,20286,NEBULIZER KIT CHAMBER T PIECE AND TUBING, 390 ,,,,,,,
,,20287,NEBULIZER MOUTHPIECE TUBING , 283 ,,,,,,,
,,20288,HAEMODIALYSIS CATHETER KIT 14FR*16CM, 60 ,,,,,,,
,,20289,HAEMODIALYSIS CATHETER KIT 14FR*20CM, 40 ,,,,,,,
,,20290,HAEMODIALYSIS CATHETER KIT 15FR*23CM, 40 ,,,,,,,
,,20291,HAEMODIALYSIS CATHETER KIT 15FR*19CN, 50 ,,,,,,,
